date,code,name,shares
2026-07-28,510050,上证50ETF,7530966800.000001
2026-07-29,510050,上证50ETF,7340166800.000001
2026-07-30,510050,上证50ETF,7144866800.000001
2026-07-31,510050,上证50ETF,7214166800.000001
2026-08-10,510050,上证50ETF,6778566800.000001
2026-08-11,510050,上证50ETF,7146666800.000001
2026-08-12,510050,上证50ETF,7004466800.000001
2026-07-28,510300,沪深300ETF,25334587700.0
2026-07-29,510300,沪深300ETF,25947487700.0
2026-07-30,510300,沪深300ETF,26483887700.0
2026-07-31,510300,沪深300ETF,26466787700.0
2026-08-10,510300,沪深300ETF,24861187700.0
2026-08-11,510300,沪深300ETF,24824287700.0
2026-08-12,510300,沪深300ETF,24168187700.0
2026-07-28,510330,沪深300ETF(华夏),8615949800.0
2026-07-29,510330,沪深300ETF(华夏),8649249800.0
2026-07-30,510330,沪深300ETF(华夏),8712249800.0
2026-07-31,510330,沪深300ETF(华夏),8714049800.0
2026-08-10,510330,沪深300ETF(华夏),8723049800.0
2026-08-11,510330,沪深300ETF(华夏),8715849800.0
2026-08-12,510330,沪深300ETF(华夏),8658249800.0
2026-07-28,510500,中证500ETF,5654168600.0
2026-07-29,510500,中证500ETF,6234968600.0
2026-07-30,510500,中证500ETF,5988168600.0
2026-07-31,510500,中证500ETF,6188168600.0
2026-08-10,510500,中证500ETF,5366168600.0
2026-08-11,510500,中证500ETF,5319368600.0
2026-08-12,510500,中证500ETF,5281768600.0
2026-07-28,512100,中证1000ETF,9051217600.0
2026-07-29,512100,中证1000ETF,11055217600.0
2026-07-30,512100,中证1000ETF,11331217600.0
2026-07-31,512100,中证1000ETF,11401217600.0
2026-08-10,512100,中证1000ETF,8029217600.0
2026-08-11,512100,中证1000ETF,7799217600.0
2026-08-12,512100,中证1000ETF,7199217600.0
2026-08-13,510050,上证50ETF,6966666800.000001
2026-08-13,510300,沪深300ETF,23678587700.0
2026-08-13,510330,沪深300ETF(华夏),8599749800.0
2026-08-13,510500,中证500ETF,5153368600.0
2026-08-13,512100,中证1000ETF,6887217600.0
